date,price,cash,btc_holdings,position_value,total_value,return,total_score,in_target_zone,peak,drawdown
2021-05-01,57843.16,3648.4215507787503,0.1739706083705655,10063.00973527596,13711.43128605471,37.1143128605471,3,True,13711.43128605471,0.0
2021-05-02,56623.51,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,2,False,13711.43128605471,-1.54749163725134
2021-05-03,57195.07,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,2,False,13711.43128605471,-1.54749163725134
2021-05-04,53244.07,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,3,True,13711.43128605471,-1.54749163725134
2021-05-05,57506.88,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,3,True,13711.43128605471,-1.54749163725134
2021-05-06,56441.94,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,4,True,13711.43128605471,-1.54749163725134
2021-05-07,57374.33,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,4,True,13711.43128605471,-1.54749163725134
2021-05-08,58943.13,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,3,True,13711.43128605471,-1.54749163725134
2021-05-09,58294.18,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,3,True,13711.43128605471,-1.54749163725134
2021-05-10,55870.01,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,3,True,13711.43128605471,-1.54749163725134
2021-05-11,56747.52,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,3,True,13711.43128605471,-1.54749163725134
2021-05-12,49504.08,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,3,True,13711.43128605471,-1.54749163725134
2021-05-13,49700.6,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,3,True,13711.43128605471,-1.54749163725134
2021-05-14,49887.96,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,4,True,13711.43128605471,-1.54749163725134
2021-05-15,46775.29,13499.24803355555,0.0,0.0,13499.24803355555,34.992480335555506,4,True,13711.43128605471,-1.54749163725134
