date,price,cash,btc_holdings,portfolio_value,signal
2021-10-03,48234.05,5170.608131778436,0.0834204546798071,9194.314513826988,DCA
2021-10-04,49276.91,3170.6081317784356,0.1240074151852446,9281.31036919437,DCA
2021-10-05,51504.27,1902.364879067061,0.1486314561183823,9557.519525481375,DCA
2021-10-06,55345.85,1141.4189274402368,0.1623803813156071,10128.49915467663,DCA
2021-10-07,53797.21,684.8513564641421,0.1708672075093092,9877.03040095603,DCA
2021-10-08,53949.29,9903.015885874043,0.0,9903.015885874043,SELL
2021-10-09,54968.04,7903.015885874045,0.036384779228075,9903.015885874043,DCA
2021-10-10,54700.24,5903.015885874045,0.072947690103786,9893.272041996766,DCA
2021-10-11,57498.8,3903.015885874045,0.1077310247125083,10097.420529613615,DCA
2021-10-12,56010.9,2341.8095315244273,0.1356042842807284,9937.127537943878,DCA
2021-10-13,57369.0,1405.0857189146564,0.1519323327495839,10121.291716425534,DCA
2021-10-14,57359.21,843.0514313487938,0.1617308339417353,10119.804298887915,DCA
2021-10-15,61684.96,505.83085880927626,0.1671976539338292,10819.411453811375,DCA
2021-10-16,60877.77,303.49851528556576,0.1705212372964214,10684.45117953253,DCA
2021-10-17,61520.54,182.09910917133945,0.1724945523244466,10794.05711522955,DCA
2021-10-18,62038.16,182.09910917133945,0.1724945523244466,10883.343745403732,DCA
2021-10-19,64283.97,182.09910917133945,0.1724945523244466,11270.733735959497,DCA
2021-10-20,66021.02,182.09910917133945,0.1724945523244466,11570.365398074677,DCA
2021-10-21,62283.96,182.09910917133945,0.1724945523244466,10925.74290636508,DCA
2021-10-22,60693.59,182.09910917133945,0.1724945523244466,10651.412745184847,DCA
2021-10-23,61313.09,182.09910917133945,0.1724945523244466,10758.273120349844,DCA
2021-10-24,60863.56,182.09910917133945,0.1724945523244466,10680.731644243437,DCA
2021-10-25,63089.04,182.09910917133945,0.1724945523244466,11064.614820550443,DCA
2021-10-26,60315.68,182.09910917133945,0.1724945523244466,10586.225328915918,DCA
2021-10-27,58464.42,182.09910917133945,0.1724945523244466,10266.893063979762,DCA
2021-10-28,60610.11,182.09910917133945,0.1724945523244466,10637.012899956804,DCA
2021-10-29,62282.5,182.09910917133945,0.1724945523244466,10925.491064318689,DCA
2021-10-30,61891.91,182.09910917133945,0.1724945523244466,10858.11641712628,DCA
2021-10-31,61349.75,182.09910917133945,0.1724945523244466,10764.596770638058,DCA
2021-11-01,60960.98,182.09910917133945,0.1724945523244466,10697.536063530884,DCA
2021-11-02,63260.05,182.09910917133945,0.1724945523244466,11094.11311394345,DCA
2021-11-03,62929.93,182.09910917133945,0.1724945523244466,11037.169212330102,DCA
2021-11-04,61448.47,182.09910917133945,0.1724945523244466,10781.625432843528,DCA
2021-11-05,61019.66,182.09910917133945,0.1724945523244466,10707.658043861282,DCA
2021-11-06,61529.76,182.09910917133945,0.1724945523244466,10795.64751500198,DCA
2021-11-07,63302.78,182.09910917133945,0.1724945523244466,11101.483806164271,DCA
2021-11-08,67549.14,182.09910917133945,0.1724945523244466,11833.95777337271,DCA
2021-11-09,66939.24,182.09910917133945,0.1724945523244466,11728.75334591003,DCA
2021-11-10,64926.06,182.09910917133945,0.1724945523244466,11381.4907630615,DCA
2021-11-11,64820.8,182.09910917133945,0.1724945523244466,11363.333986483827,DCA
2021-11-12,64156.3,182.09910917133945,0.1724945523244466,11248.711356464237,DCA
2021-11-13,64409.56,182.09910917133945,0.1724945523244466,11292.397326785924,DCA
2021-11-14,65509.06,182.09910917133945,0.1724945523244466,11482.055087066652,DCA
2021-11-15,63614.06,182.09910917133945,0.1724945523244466,11155.177910411823,DCA
2021-11-16,60108.9,182.09910917133945,0.1724945523244466,10550.55690538627,DCA
2021-11-17,60365.6,182.09910917133945,0.1724945523244466,10594.836256967954,DCA
2021-11-18,56930.68,182.09910917133945,0.1724945523244466,10002.331269297663,DCA
2021-11-19,58136.22,182.09910917133945,0.1724945523244466,10210.28035190688,DCA
2021-11-20,59769.66,182.09910917133945,0.1724945523244466,10492.039853455724,DCA
2021-11-21,58700.83,182.09910917133945,0.1724945523244466,10307.672501094785,DCA
2021-11-22,56303.06,182.09910917133945,0.1724945523244466,9894.070238367796,DCA
2021-11-23,57566.6,182.09910917133945,0.1724945523244466,10112.024005011828,DCA
2021-11-24,57175.09,182.09910917133945,0.1724945523244466,10044.490662831284,DCA
2021-11-25,58966.99,182.09910917133945,0.1724945523244466,10353.58365114146,DCA
2021-11-26,53788.22,182.09910917133945,0.1724945523244466,9460.274038400186,DCA
