date,price,volume,sth_mvrv,lth_net_change_30d,whale_holdings_change,mvrv_score,whale_score,lth_score,total_score,strategy_signal
2023-07-30,29283.34,224246250.77,1.1162025316455697,70253.16455696206,-0.003301687763713,1,2,0,3,DCA
2023-07-31,29231.47,426457343.16,1.11126582278481,98417.72151898734,-0.0049999999999999,1,2,0,3,DCA
2023-08-01,29699.74,822433494.24,1.1070886075949369,126582.27848101262,-0.0074789029535864,1,2,0,3,DCA
2023-08-02,29163.69,838251477.68,1.1048101265822785,100000.00000000004,-0.0102531645569619,1,0,0,1,SELL
2023-08-03,29177.75,450334651.17,1.1017721518987342,95569.62025316455,-0.0132067510548522,1,0,0,1,SELL
2023-08-04,29078.51,375805085.38,1.099493670886076,49367.088607594895,-0.0161919831223627,1,0,0,1,SELL
2023-08-05,29050.34,120051247.27,1.0975949367088609,44936.708860759536,-0.0190295358649788,1,0,0,1,SELL
2023-08-06,29046.16,126689336.09,1.0960759493670886,35443.03797468357,-0.0200843881856539,1,0,0,1,SELL
2023-08-07,29182.16,475156597.17,1.0953164556962025,76582.27848101269,-0.021012658227848,1,0,0,1,SELL
2023-08-08,29770.51,786792606.34,1.091518987341772,117721.5189873418,-0.0217405063291138,1,0,0,1,SELL
2023-08-09,29566.47,532770863.32,1.0869620253164558,118987.34177215188,-0.0228481012658227,1,0,0,1,SELL
2023-08-10,29428.1,375142806.93,1.079746835443038,125316.45569620257,-0.0235337552742615,1,0,0,1,SELL
2023-08-11,29403.56,310027638.11,1.078987341772152,125316.45569620257,-0.0240506329113923,1,0,0,1,SELL
2023-08-12,29417.08,102819295.5,1.078987341772152,83544.30379746835,-0.0244620253164556,1,0,0,1,SELL
2023-08-13,29281.55,115373186.78,1.0782278481012657,41772.15189873415,-0.0251160337552742,1,0,0,1,SELL
2023-08-14,29409.22,362522208.47,1.0778481012658228,43670.88607594938,-0.025717299578059,1,0,0,1,SELL
2023-08-15,29171.23,299026558.28,1.0782278481012657,51898.7341772152,-0.0260021097046413,1,0,0,1,SELL
2023-08-16,28702.8,479152538.98,1.0770886075949369,86075.94936708861,-0.0260021097046413,1,0,0,1,SELL
2023-08-17,26629.67,1394530695.43,1.0748101265822785,120253.16455696205,-0.0260126582278481,1,0,0,1,SELL
2023-08-18,26049.69,888090076.41,1.0725316455696203,118987.34177215188,-0.0260126582278481,1,0,0,1,SELL
2023-08-19,26095.8,265159375.46,1.0736708860759494,65189.87341772154,-0.0260126582278481,1,0,0,1,SELL
2023-08-20,26191.01,192271431.08,1.0740506329113924,65822.78481012661,-0.0260126582278481,1,0,0,1,SELL
2023-08-21,26126.18,430024076.12,1.0721518987341772,65822.78481012661,-0.0260126582278481,1,0,0,1,SELL
2023-08-22,26043.01,514473682.56,1.069873417721519,122784.81012658223,-0.0260126582278481,1,0,0,1,SELL
2023-08-23,26429.4,672652092.31,1.069873417721519,123417.72151898732,-0.0260126582278481,1,0,0,1,SELL
2023-08-24,26166.22,449180401.68,1.069493670886076,122151.89873417716,-0.0260126582278481,1,0,0,1,SELL
2023-08-25,26051.29,489263026.85,1.0713924050632913,170569.62025316455,-0.0260126582278481,1,0,1,2,DCA
2023-08-26,26010.35,93024725.64,1.0748101265822785,218987.3417721519,-0.0256962025316455,1,0,1,2,DCA
2023-08-27,26091.32,107924452.3,1.079367088607595,217721.51898734175,-0.0251793248945147,1,0,1,2,DCA
2023-08-28,26106.0,302943657.3,1.080126582278481,163291.13924050634,-0.0246835443037973,1,0,1,2,DCA
2023-08-29,27724.41,1089036684.85,1.0786075949367089,165822.78481012656,-0.024525316455696,1,0,1,2,DCA
2023-08-30,27305.41,520197058.0,1.0763291139240505,159493.67088607597,-0.0245780590717298,1,0,1,2,DCA
2023-08-31,25937.29,741278108.53,1.0755696202531646,154430.37974683545,-0.0240822784810125,1,0,1,2,DCA
2023-09-01,25798.79,639696809.37,1.0751898734177217,159493.67088607597,-0.021139240506329,1,0,1,2,DCA
2023-09-02,25868.56,181289556.36,1.0740506329113924,259493.6708860759,-0.0181856540084387,1,0,1,2,DCA
