date,price,z_score,total_value,position,cash,borrowed,peak,dd
2024-08-30,59119.4765625,5.369699729722543,54486.972693246986,0.5978450520564597,22579.331659583455,3436.645509394923,63764.32406830564,-14.549438907437597
2024-08-31,58969.8984375,5.426618424488628,54396.79491394793,0.5679527994536366,23459.949972239818,2555.2739593666397,63764.32406830564,-14.690862470874816
2024-09-01,57325.48828125,5.163642785998197,53462.28750220987,0.5679527994536366,23459.38991219393,2555.2739593666397,63764.32406830564,-16.15642715048626
2024-09-02,59112.48046875,5.5941550944916285,54476.65465765638,0.5679527994536366,23458.82985214804,2555.2739593666397,63764.32406830564,-14.565620425459421
2024-09-03,57431.0234375,5.346309580522037,53521.10636955105,0.5679527994536366,23458.26979210215,2555.2739593666397,63764.32406830564,-16.064182986997317
2024-09-04,57971.5390625,5.495245810391404,53827.53367187234,0.5679527994536366,23457.70973205626,2555.2739593666397,63764.32406830564,-15.583620686998595
2024-09-05,56160.48828125,5.147513529003731,52798.38225066282,0.5679527994536366,23457.14967201037,2555.2739593666397,63764.32406830564,-17.1976132074981
2024-09-06,53948.75390625,4.703201637498705,51541.66146068784,0.5679527994536366,23456.589611964482,2555.2739593666397,63764.32406830564,-19.16849709647143
2024-09-07,54139.6875,4.775271089125433,51649.542669722,0.5395551594809548,24224.749228847842,1786.5542824373883,63764.32406830564,-18.999309685469324
2024-09-08,54841.56640625,4.9837570255300765,52027.85348137868,0.5395551594809548,24224.357655306485,1786.5542824373883,63764.32406830564,-18.406014269601
2024-09-09,57019.53515625,5.537998152546977,53202.596184088114,0.5395551594809548,24223.966081765127,1786.5542824373883,63764.32406830564,-16.56369457144028
2024-09-10,57648.7109375,5.746673590361174,53541.67964954065,0.5395551594809548,24223.57450822377,1786.5542824373883,63764.32406830564,-16.031918424814297
2024-09-11,57343.171875,5.7726038585552955,53376.43289840445,0.5395551594809548,24223.182934682412,1786.5542824373883,63764.32406830564,-16.29107078555945
2024-09-12,58127.01171875,6.021223263872304,53798.96615676514,0.5395551594809548,24222.791361141055,1786.5542824373883,63764.32406830564,-15.628422408846374
2024-09-13,60571.30078125,6.624461437291975,55117.40335815853,0.5395551594809548,24222.399787599697,1786.5542824373883,63764.32406830564,-13.5607502102341
