total_value,date,peak,dd
26283.644008169962,2023-10-11 00:00:00+00:00,29603.12931410242,-11.213291914889261
26239.768847914514,2023-10-12 00:00:00+00:00,29603.12931410242,-11.36150313874304
26279.522645122117,2023-10-13 00:00:00+00:00,29603.12931410242,-11.227213966859226
26279.271127248747,2023-10-14 00:00:00+00:00,29603.12931410242,-11.228063599581164
26391.45986568969,2023-10-15 00:00:00+00:00,29603.12931410242,-10.849087656698336
26903.486273253504,2023-10-16 00:00:00+00:00,29603.12931410242,-9.119451569475983
26864.43187223764,2023-10-17 00:00:00+00:00,29603.12931410242,-9.25137816615932
26831.519802445124,2023-10-18 00:00:00+00:00,29603.12931410242,-9.362555837422736
26978.922514022583,2023-10-19 00:00:00+00:00,29603.12931410242,-8.864626344856427
27341.585547288458,2023-10-20 00:00:00+00:00,29603.12931410242,-7.639542910541566
27430.247068516037,2023-10-21 00:00:00+00:00,29603.12931410242,-7.340042407446637
27458.67005907157,2023-10-22 00:00:00+00:00,29603.12931410242,-7.244028941255437
28623.063228648098,2023-10-23 00:00:00+00:00,29603.12931410242,-3.310684066726139
28930.054766311012,2023-10-24 00:00:00+00:00,29603.12931410242,-2.2736601277851007
29156.4664491512,2023-10-25 00:00:00+00:00,29603.12931410242,-1.5088366510578255
29026.118414425917,2023-10-26 00:00:00+00:00,29603.12931410242,-1.9491550827419677
28933.17005786538,2023-10-27 00:00:00+00:00,29603.12931410242,-2.2631366067028753
29000.862195691232,2023-10-28 00:00:00+00:00,29603.12931410242,-2.034471126416625
29169.89397351373,2023-10-29 00:00:00+00:00,29603.12931410242,-1.4634781883762116
29156.294357974686,2023-10-30 00:00:00+00:00,29603.12931410242,-1.509417978709673
29218.581067820225,2023-10-31 00:00:00+00:00,29603.12931410242,-1.2990121490264352
29508.319361888833,2023-11-01 00:00:00+00:00,29603.12931410242,-0.3202700336427715
29320.420801834094,2023-11-02 00:00:00+00:00,29603.12931410242,-0.9549953630532229
29242.884166192667,2023-11-03 00:00:00+00:00,29603.12931410242,-1.2169157661927987
29374.625109842404,2023-11-04 00:00:00+00:00,29603.12931410242,-0.771892058557345
29362.259549834103,2023-11-05 00:00:00+00:00,29603.12931410242,-0.8136631830796754
29357.746936761014,2023-11-06 00:00:00+00:00,29603.12931410242,-0.8289068859504386
29510.694808470656,2023-11-07 00:00:00+00:00,29603.12931410242,-0.31224572460226696
29590.414207410802,2023-11-08 00:00:00+00:00,29603.12931410242,-0.04295190064775409
29981.20679371328,2023-11-09 00:00:00+00:00,29981.20679371328,0.0
30214.980154659996,2023-11-10 00:00:00+00:00,30214.980154659996,0.0
30148.739760348857,2023-11-11 00:00:00+00:00,30214.980154659996,-0.2192303088470584
30117.286788394835,2023-11-12 00:00:00+00:00,30214.980154659996,-0.3233275870614591
29909.37417159775,2023-11-13 00:00:00+00:00,30214.980154659996,-1.0114386357295493
29546.119115267356,2023-11-14 00:00:00+00:00,30214.980154659996,-2.213673601534642
30428.333500191555,2023-11-15 00:00:00+00:00,30428.333500191555,0.0
29778.493683830595,2023-11-16 00:00:00+00:00,30428.333500191555,-2.1356405087280548
29944.89261373887,2023-11-17 00:00:00+00:00,30428.333500191555,-1.588785289373937
29940.758012908213,2023-11-18 00:00:00+00:00,30428.333500191555,-1.6023732856755786
30242.308821836657,2023-11-19 00:00:00+00:00,30428.333500191555,-0.6113534885297818
30276.351986626963,2023-11-20 00:00:00+00:00,30428.333500191555,-0.49947366839407925
29650.109253555303,2023-11-21 00:00:00+00:00,30428.333500191555,-2.5575644707303877
30259.55176937767,2023-11-22 00:00:00+00:00,30428.333500191555,-0.5546860816837742
30205.81225463243,2023-11-23 00:00:00+00:00,30428.333500191555,-0.7312961965456428
30367.973623177095,2023-11-24 00:00:00+00:00,30428.333500191555,-0.198367344087641
30396.7834511636,2023-11-25 00:00:00+00:00,30428.333500191555,-0.10368641788337479
30277.16684570209,2023-11-26 00:00:00+00:00,30428.333500191555,-0.496795706831968
30192.462686102,2023-11-27 00:00:00+00:00,30428.333500191555,-0.7751683610542435
30409.69617286133,2023-11-28 00:00:00+00:00,30428.333500191555,-0.061249911468552874
30420.01575999327,2023-11-29 00:00:00+00:00,30428.333500191555,-0.02733551016926585
30365.136325061714,2023-11-30 00:00:00+00:00,30428.333500191555,-0.2076918708986898
30732.642180538525,2023-12-01 00:00:00+00:00,30732.642180538525,0.0
31029.19940361849,2023-12-02 00:00:00+00:00,31029.19940361849,0.0
31218.245238183335,2023-12-03 00:00:00+00:00,31218.245238183335,0.0
31971.970761434524,2023-12-04 00:00:00+00:00,31971.970761434524,0.0
32762.9150464854,2023-12-05 00:00:00+00:00,32762.9150464854,0.0
32637.073741374177,2023-12-06 00:00:00+00:00,32762.9150464854,-0.38409679032733535
32466.20632433551,2023-12-07 00:00:00+00:00,32762.9150464854,-0.9056236959651026
32795.27995458848,2023-12-08 00:00:00+00:00,32795.27995458848,0.0
32629.36935177938,2023-12-09 00:00:00+00:00,32795.27995458848,-0.5058978091933755
