date,open,high,low,close,price,volume,wt1,wt2
2023-08-16,29171.23,29228.22,28696.21,28702.8,28702.8,479152538.98,-30.08768298843623,-29.582099681918507
2023-08-17,28702.8,28752.02,25328.06,26629.67,26629.67,1394530695.43,-39.396171518389146,-30.837108940342407
2023-08-18,26629.67,26823.13,25629.62,26049.69,26049.69,888090076.41,-45.55655959902618,-35.22693299136513
2023-08-19,26049.69,26266.25,25797.39,26095.8,26095.8,265159375.46,-49.47801268759663,-41.12960669836205
2023-08-20,26095.8,26291.33,25983.85,26191.01,26191.01,192271431.08,-51.261174199671665,-46.422979501170914
2023-08-21,26191.01,26248.2,25819.92,26126.18,26126.18,430024076.12,-52.92686754568191,-49.805653507994094
2023-08-22,26126.18,26137.6,25369.8,26043.01,26043.01,514473682.56,-54.959968945066564,-52.156505844504196
2023-08-23,26043.01,26807.82,25802.48,26429.4,26429.4,672652092.31,-55.955853115647336,-53.77596595151687
2023-08-24,26429.4,26565.88,25859.32,26166.22,26166.22,449180401.68,-54.860810669362344,-54.67587506893954
2023-08-25,26166.22,26291.13,25759.58,26051.29,26051.29,489263026.85,-53.309789594005615,-54.77160558102047
2023-08-26,26051.29,26109.19,25979.58,26010.35,26010.35,93024725.64,-51.96647617079223,-54.023232387451884
2023-08-27,26010.35,26168.79,25966.75,26091.32,26091.32,107924452.3,-51.018425761656054,-52.78887554895406
2023-08-28,26091.32,26233.53,25861.84,26106.0,26106.0,302943657.3,-50.01812931949447,-51.578205211487095
2023-08-29,26106.0,28154.08,25911.89,27724.41,27724.41,1089036684.85,-52.091240555150804,-51.273567951773394
2023-08-30,27724.41,27766.41,27036.49,27305.41,27305.41,520197058.0,-52.94768369522721,-51.51886983288214
2023-08-31,27305.41,27563.68,25683.18,25937.29,25937.29,741278108.53,-55.71274366225058,-52.69244930803077
2023-09-01,25937.29,26137.14,25323.44,25798.79,25798.79,639696809.37,-59.50499126733342,-55.06416479499051
2023-09-02,25798.79,25980.31,25729.66,25868.56,25868.56,181289556.36,-62.732028701425676,-57.72436183155922
2023-09-03,25868.56,26115.72,25805.82,25971.37,25971.37,160541183.85,-63.51940599812541,-60.36729240728378
2023-09-04,25971.37,26089.36,25636.28,25816.24,25816.24,228454428.06,-65.95232749549157,-62.92718836559403
2023-09-05,25816.24,25878.61,25567.56,25785.01,25785.01,280146729.52,-65.07861277295483,-64.32059374199937
2023-09-06,25785.01,26019.64,25379.85,25751.71,25751.71,390027105.24,-59.90343721754603,-63.61344587102946
2023-09-07,25751.71,26426.41,25600.8,26264.75,26264.75,491838528.79,-47.0001316628046,-59.48362728719926
2023-09-08,26264.75,26443.61,25650.9,25907.13,25907.13,482397556.59,-38.76653027897337,-52.687177983069716
2023-09-09,25907.13,25936.62,25799.89,25898.41,25898.41,105931726.4,-34.28183240051625,-44.987982889960065
2023-09-10,25898.41,26020.84,25589.02,25833.67,25833.67,217583144.54,-31.964453799128073,-38.003237035355575
2023-09-11,25833.67,25889.38,24911.78,25157.07,25157.07,619642052.88,-33.748957541393715,-34.69044350500286
2023-09-12,25157.07,26545.24,25128.37,25840.34,25840.34,937711286.48,-30.57424991788417,-32.64237341473056
2024-04-29,63111.34,64192.54,61768.51,63847.54,63847.54,1370557060.16,-37.0733668512065,-27.173627758669383
2024-04-30,63847.54,64721.13,59097.29,60633.97,60633.97,2518380270.05,-44.19559279719393,-33.558172096239815
2024-05-01,60633.97,60788.52,56516.09,58277.44,58277.44,3014503800.73,-53.25228032025721,-40.95667880310429
2024-05-02,58277.44,59628.08,56936.28,59083.85,59083.85,1724718703.27,-61.11502403925897,-48.90906600197916
2024-05-03,59083.85,63355.83,58835.76,62917.45,62917.45,2147038663.01,-58.04135113839135,-54.15106207377538
2024-05-04,62917.45,64539.14,62587.84,63904.51,63904.51,1029192793.92,-47.858674764137,-55.06683256551114
2024-05-05,63904.51,64634.43,62923.47,64037.5,64037.5,803966989.59,-40.13549093097356,-51.787635218190225
2024-05-06,64037.5,65517.33,62715.9,63168.44,63168.44,1537928462.74,-33.61119232173851,-44.91167728881011
2024-05-12,60823.19,61838.51,60600.9,61459.22,61459.22,502848342.69,-30.812923152961623,-26.906687663656236
2024-05-13,61459.22,63445.72,60758.38,62932.29,62932.29,1327733464.12,-32.116943322233475,-28.902500088731166
2024-05-14,62932.29,63097.07,61094.77,61548.48,61548.48,1636519845.72,-35.225274610668016,-31.554123442343077
2024-06-24,63181.02,63335.53,58443.98,60270.95,60270.95,2938115761.51,-39.58196956198435,-30.198139750781316
2024-06-25,60270.95,62385.37,60232.04,61796.56,61796.56,1946492862.08,-49.49781262576686,-36.345857580354334
2024-06-26,61796.56,62471.55,60684.69,60824.43,60824.43,1436803387.64,-59.17101248596999,-44.46484563778084
2024-06-27,60824.43,62341.3,60562.27,61630.1,61630.1,1385461549.94,-66.0087316576918,-53.56488158285326
2024-06-28,61630.1,62168.03,59907.92,60324.3,60324.3,1481619028.88,-70.62983652332228,-61.32684832318774
2024-06-29,60324.3,61129.31,60294.22,60905.3,60905.3,560710968.57,-73.06467634956294,-67.21856425413677
2024-06-30,60905.3,62949.76,60637.5,62685.88,62685.88,778765578.43,-73.95534580772312,-70.91464758457505
2024-07-01,62685.88,63800.98,62462.2,62841.27,62841.27,1623104957.15,-73.33782057714025,-72.74691981443716
2024-07-02,62841.27,63219.74,61453.08,62044.48,62044.48,1278702453.96,-67.67959861117131,-72.00936033639941
2024-07-03,62044.48,62198.73,59373.07,60157.2,60157.2,1653064013.62,-68.98834736988526,-70.99027809148
2024-07-04,60157.2,60428.43,56728.63,57041.11,57041.11,2342236881.51,-70.08101672347163,-70.02169582041712
2024-07-05,57041.11,57494.97,53528.09,56646.24,56646.24,3198812323.21,-70.81820344166404,-69.39179153654807
2024-07-06,56646.24,58495.08,56035.03,58255.65,58255.65,1072779742.28,-69.76252207085402,-69.91252240146875
2024-07-07,58255.65,58452.39,55734.13,55866.6,55866.6,1053256457.42,-70.6068136522646,-70.31713897206359
2024-07-08,55866.6,58166.93,54305.08,56709.76,56709.76,2441024283.07,-71.00218815037786,-70.54743182879014
2024-07-09,56709.76,58289.53,56296.1,58047.2,58047.2,1692558128.7,-68.25033357765926,-69.90546436278895
2024-07-10,58047.2,59463.57,57165.19,57725.78,57725.78,1631984559.89,-65.18412691301594,-68.76086557332943
2024-07-11,57725.78,59494.11,57072.63,57348.75,57348.75,1729366992.27,-63.283518956143496,-66.93004189929914
2024-07-12,57348.75,58543.78,56554.34,57913.68,57913.68,1567843358.24,-60.46238440994849,-64.2950909641918
2024-07-13,57913.68,59866.89,57784.15,59231.06,59231.06,819172857.7,-55.57224496853256,-61.12556881191013
2024-07-14,59231.06,61424.95,59222.6,60818.77,60818.77,1207899406.9,-47.558286719836815,-56.719108763615345
2024-07-15,60818.77,64936.75,60688.12,64765.55,64765.55,2752990856.54,-34.11686977169263,-49.427446467502634
2024-08-15,58698.05,59869.57,56132.98,57552.92,57552.92,2023439063.25,-30.89123856986501,-26.858962674154398
2024-08-16,57552.92,59851.62,57106.84,58893.67,58893.67,1708248208.47,-35.846046708846124,-29.758344817186202
