date,open,high,low,close,price,volume,wt1,wt2,return_5d,return_20d,return_60d,year
2022-01-27,36829.37,37242.79,35543.94,37189.85,37189.85,1671118834.49,-65.13612561649093,-69.05264185479248,4.118435540880094,18.033119251623763,26.7246573998013,2022
2022-01-28,37189.85,38021.06,36176.78,37744.7,37744.7,1439590445.61,-61.19778535778373,-66.08818198654282,-2.1897378969762515,7.41929330475537,25.700561933198586,2022
2022-01-29,37744.7,38728.29,37343.45,38184.86,38184.86,913551592.58,-54.95159622340538,-62.10922409450892,-2.242302315629807,4.739574794827073,23.23316099626922,2022
2022-01-30,38184.86,38364.51,37377.53,37908.44,37908.44,658154943.17,-50.11293967526911,-57.8496117182373,9.7126128112895,5.799974886858972,20.085790921494006,2022
2022-01-31,37908.44,38769.81,36660.7,38494.66,38494.66,1310842543.43,-45.253620587652584,-52.87898546102771,7.5946897569688865,-0.2530480851110295,20.275773315051993,2022
2022-02-01,38494.66,39281.06,38033.98,38721.49,38721.49,1255765239.87,-37.08460534711616,-46.850690458360816,9.531967907226724,-4.349264452375145,18.33811147246658,2022
2022-02-02,38721.49,38883.19,36650.8,36918.19,36918.19,1099971099.08,-37.128833242827106,-42.39499971321625,18.806122401992063,3.6555421595695803,25.72192732092229,2022
2022-02-03,36918.19,37411.52,36270.47,37328.64,37328.64,1012101574.73,-39.45880938016684,-39.73146713944068,18.086595171964493,-0.15481410520179484,24.86219696190379,2022
2022-04-15,39951.63,40800.76,39779.2,40563.69,40563.69,561514975.78,-30.386618578286082,-26.309796122517845,2.0009520830082117,-9.902526126198087,-45.472490298589705,2022
2022-04-16,40563.69,40698.01,40019.08,40392.55,40392.55,313875941.14,-31.765188005451094,-28.84717627816606,0.24365879351513353,-10.850169152479861,-44.13145493414009,2022
2022-04-17,40392.55,40602.63,39563.9,39688.16,39688.16,389893199.53,-33.76628896089312,-31.046592418999168,0.07024765068472938,-10.630248416656263,-48.66768829797099,2022
2022-04-18,39688.16,41096.46,38569.14,40811.03,40811.03,1101204133.54,-34.32214610846369,-32.560060413273504,-3.3448310420001626,-16.60644193493769,-49.93446624601242,2022
2022-04-19,40811.03,41755.93,40588.12,41504.44,41504.44,768239204.72,-30.02298005650143,-32.46915078282734,-4.9107517171656845,-27.53329523299194,-54.33199436012147,2022
2022-04-23,39716.04,39988.54,39305.67,39445.97,39445.97,455659637.8,-32.4082911899487,-27.073943015137697,0.7701166937966075,-25.861044867194295,-49.408874975060826,2022
2022-04-24,39445.97,39943.44,39044.29,39466.26,39466.26,501272140.43,-35.77224639915998,-29.728755894451332,-2.209583578479446,-23.858227255382193,-46.540640030243566,2022
2022-04-25,39466.26,40590.8,38234.7,40437.52,40437.52,1514243711.31,-36.52254236507736,-33.12050935975822,-6.893078507287287,-22.606257752700955,-47.52531807094006,2022
2022-04-26,40437.52,40797.85,37726.59,38117.39,38117.39,1492483889.14,-40.97772154198238,-36.42020037404211,0.9526885235321636,-21.7194566574469,-43.66301050517887,2022
