date,price,total_value,position,position_levels,peak,dd
2022-11-15,16879.14,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-16,16648.05,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-17,16680.21,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-18,16677.95,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-19,16683.72,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-20,16253.6,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-21,15760.19,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-22,16198.25,-4984.819999999989,0,0,12769.68,-139.03637366010727
2022-11-23,16590.98,-4984.819999999989,1,1,12769.68,-139.03637366010727
2022-11-25,16508.33,-4987.339999999989,0,0,12769.68,-139.0561079056013
2022-11-26,16451.53,-4987.339999999989,0,0,12769.68,-139.0561079056013
2022-11-27,16420.87,-4987.339999999989,0,0,12769.68,-139.0561079056013
2022-11-28,16207.01,-4987.339999999989,0,0,12769.68,-139.0561079056013
2022-11-29,16431.79,-4987.339999999989,1,1,12769.68,-139.0561079056013
2022-12-01,16978.64,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-02,17094.49,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-03,16888.31,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-04,17111.76,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-05,16966.84,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-06,17086.52,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-07,16837.85,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-08,17226.02,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-09,17126.85,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-10,17129.19,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-11,17094.83,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-12,17208.66,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-13,17775.32,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-14,17801.37,-4256.779999999992,0,0,12769.68,-133.33505616428909
2022-12-15,17359.21,-4256.779999999992,0,0,12769.68,-133.33505616428909
